,date,a,b,c,d,p
633,2016/08/04,2.1815465028895800,1.2872962384774400,1.2631726782984700,1.296466574221040,1.677098604829370
634,2016/08/05,2.2412711652243900,1.292523175770170,1.2633707585378000,1.2859900400085100,1.7003589747817300
635,2016/08/08,2.3305124851494400,1.3033919589044100,1.2667665406476400,1.289751692781460,1.7383208670415000
636,2016/08/09,2.314963858687040,1.2987120911741500,1.2698417141607300,1.2950885621834200,1.7318575540001800
637,2016/08/10,2.3397896595917300,1.3126248397986700,1.2623980084897000,1.296435930858840,1.7458653043017700
638,2016/08/11,2.31350643990222,1.2990822589769800,1.263328029768600,1.288819068990230,1.729865089637590
639,2016/08/12,2.288370929362960,1.2982774880671900,1.2613389152729000,1.29008938161704,1.720453498468210
640,2016/08/15,2.2736854266466000,1.2917670182906600,1.2640730768010100,1.2987357219516800,1.7138954750969800
641,2016/08/16,2.329050501781230,1.294085832709590,1.2641017843359700,1.3011456296037400,1.7349889781628100
642,2016/08/17,2.3173449774606600,1.2947610299018100,1.261701187108690,1.3057031225107500,1.7313501844796900
643,2016/08/18,2.311195755801170,1.2974382393948000,1.2615605114463700,1.3008248101418800,1.7297501050982500
644,2016/08/19,2.314709532766410,1.293678698306180,1.2619793139853500,1.3017196693437700,1.7295245607404900
645,2016/08/22,2.3242161751443600,1.2895742209305600,1.264735949977640,1.2947381144925300,1.730657130833330
646,2016/08/23,2.3636866493429400,1.2892923479256600,1.2647557608192500,1.2999662099533400,1.7451400496714900
647,2016/08/24,2.3623538249813800,1.2929400230871200,1.2603954243685800,1.3045535955724500,1.7461809688918100
648,2016/08/25,2.3041335035754600,1.2954515957113900,1.2612148487953400,1.2975266125284100,1.7264084024272500
649,2016/08/26,2.2847707972867800,1.2969819670922100,1.260421740454130,1.297941930887050,1.7202482839919100
650,2016/08/29,2.2943152352955000,1.2952679057952600,1.25856941255892,1.2999267043152800,1.722846184838410
651,2016/08/30,2.298433240151700,1.295208582996350,1.2604296066158600,1.2992387276727300,1.724476217558860
652,2016/08/31,2.2827815831811100,1.2941099729035400,1.259707227016310,1.3033896315050900,1.7188647533119000
653,2016/09/01,2.2687584214358200,1.2983053321222200,1.2584554372153300,1.3007128666966200,1.7152609981642100
654,2016/09/02,2.2672033217483700,1.3117160327838500,1.2588206312957500,1.2963803862777500,1.7201675530900700
655,2016/09/05,2.2702569191911100,1.3136936756531500,1.258688780710120,1.2990960747660800,1.7224172862326800
656,2016/09/06,2.267271128085090,1.3101904057171500,1.25819775712384,1.2966338937515600,1.7194696321178600
657,2016/09/07,2.269901728916800,1.3117947647098400,1.2585011162272000,1.294182047689770,1.7208561808884600
658,2016/09/08,2.262697781829150,1.306664233104830,1.2595322393129000,1.294400576708690,1.7162527173439300
659,2016/09/09,2.26249673075643,1.305624047506590,1.2603095923694000,1.295108024314290,1.7159326277092700
660,2016/09/12,2.27513623976162,1.2916793528014000,1.2658636917617900,1.2875409067182100,1.714416957881950
661,2016/09/13,2.2779271054413000,1.2905566061444600,1.2685977210876200,1.284685043141690,1.714996888977160
