index,,mac16,mac2,mac32,mac4,mac8
2020-11-01,mac8,0.4351900577487011,0.7484975929028822,0.2860288365935895,0.8844325641327706,1.0
2020-11-08,mac16,1.0,0.16709269335896865,0.2090086832093242,0.3109383382825395,0.5667213668165199
2020-11-08,mac2,0.16709269335896865,1.0,0.6762521762611642,0.9195734152313849,0.6881311404346492
2020-11-08,mac32,0.2090086832093242,0.6762521762611642,1.0,0.5635379421467342,0.33755017757966393
2020-11-08,mac4,0.3109383382825395,0.9195734152313849,0.5635379421467342,1.0,0.8666556832372525
2020-11-08,mac8,0.5667213668165199,0.6881311404346492,0.33755017757966393,0.8666556832372525,1.0
2020-11-15,mac16,1.0,0.16703941380222212,0.21287867673845423,0.3159516821252192,0.5700023522686665
2020-11-15,mac2,0.16703941380222212,1.0,0.6762187107519814,0.9187550241273517,0.6870676584963366
2020-11-15,mac32,0.21287867673845423,0.6762187107519814,1.0,0.5645177299242866,0.3394881918888399
2020-11-15,mac4,0.3159516821252192,0.9187550241273517,0.5645177299242866,1.0,0.8670974924269077
2020-11-15,mac8,0.5700023522686665,0.6870676584963366,0.3394881918888399,0.8670974924269077,1.0
2020-11-22,mac16,1.0,0.21169830954097787,0.2922125511009103,0.3830852218787911,0.6274413272210565
2020-11-22,mac2,0.21169830954097787,1.0,0.6834326514069432,0.9168536391325764,0.6885906498056938
2020-11-22,mac32,0.2922125511009103,0.6834326514069432,1.0,0.5873089403502505,0.385121943038121
2020-11-22,mac4,0.3830852218787911,0.9168536391325764,0.5873089403502505,1.0,0.8735698081387706
2020-11-22,mac8,0.6274413272210565,0.6885906498056938,0.385121943038121,0.8735698081387706,1.0
2020-11-29,mac16,1.0,0.22906103971549474,0.30197140822082796,0.39612592920546946,0.6346126917872591
2020-11-29,mac2,0.22906103971549474,1.0,0.6877262970624234,0.9191434975512119,0.6962857060520009
2020-11-29,mac32,0.30197140822082796,0.6877262970624234,1.0,0.593483832420511,0.39446867473157887
2020-11-29,mac4,0.39612592920546946,0.9191434975512119,0.593483832420511,1.0,0.8765474297271614
2020-11-29,mac8,0.6346126917872591,0.6962857060520009,0.39446867473157887,0.8765474297271614,1.0
2020-12-06,mac16,1.0,0.22255819877309727,0.3025216052224212,0.3892588789713473,0.6326582410743575
2020-12-06,mac2,0.22255819877309727,1.0,0.6847870889569632,0.9194578342602421,0.694705882188529
2020-12-06,mac32,0.3025216052224212,0.6847870889569632,1.0,0.5910607553742115,0.39440886923376595
2020-12-06,mac4,0.3892588789713473,0.9194578342602421,0.5910607553742115,1.0,0.8748609224644525
2020-12-06,mac8,0.6326582410743575,0.694705882188529,0.39440886923376595,0.8748609224644525,1.0
2020-12-13,mac16,1.0,0.22359151287570964,0.3030785398033903,0.3901248598101333,0.6327178700197775
2020-12-13,mac2,0.22359151287570964,1.0,0.685075137145512,0.9194626947236849,0.6956035139418202
2020-12-13,mac32,0.3030785398033903,0.685075137145512,1.0,0.5912902442226131,0.39526086640267033
2020-12-13,mac4,0.3901248598101333,0.9194626947236849,0.5912902442226131,1.0,0.8755700850200553
2020-12-13,mac8,0.6327178700197775,0.6956035139418202,0.39526086640267033,0.8755700850200553,1.0
2020-12-20,mac16,1.0,0.24696923159058756,0.36562549047616155,0.3717717290869863,0.5995490723634026
2020-12-20,mac2,0.24696923159058756,1.0,0.6852828661900487,0.9143316039524693,0.6912872770404297
2020-12-20,mac32,0.36562549047616155,0.6852828661900487,1.0,0.569792514107688,0.37997449414933604
2020-12-20,mac4,0.3717717290869863,0.9143316039524693,0.569792514107688,1.0,0.8755568318627295
2020-12-20,mac8,0.5995490723634026,0.6912872770404297,0.37997449414933604,0.8755568318627295,1.0
2020-12-27,mac16,1.0,0.24530163237617691,0.39421856995521803,0.3941297114213708,0.6196254221421016
2020-12-27,mac2,0.24530163237617691,1.0,0.6769024791400998,0.9063591896636516,0.680331478610996
2020-12-27,mac32,0.39421856995521803,0.6769024791400998,1.0,0.5824037485938376,0.40502788853363664
2020-12-27,mac4,0.3941297114213708,0.9063591896636516,0.5824037485938376,1.0,0.8783564005807448
2020-12-27,mac8,0.6196254221421016,0.680331478610996,0.40502788853363664,0.8783564005807448,1.0
2021-01-03,mac16,1.0,0.32503118922545676,0.4575035766854965,0.46777678950577456,0.6693960335806486
2021-01-03,mac2,0.32503118922545676,1.0,0.7005800518140519,0.9133297567189331,0.7073870784876791
2021-01-03,mac32,0.4575035766854965,0.7005800518140519,1.0,0.6171301847110876,0.4584716363996342
2021-01-03,mac4,0.46777678950577456,0.9133297567189331,0.6171301847110876,1.0,0.8905331354501811
2021-01-03,mac8,0.6693960335806486,0.7073870784876791,0.4584716363996342,0.8905331354501811,1.0
2021-01-10,mac16,1.0,0.3274998450193465,0.46224666627236677,0.4778664475081896,0.6760707086144279
2021-01-10,mac2,0.3274998450193465,1.0,0.7011639905104151,0.9098369782304166,0.7054706951450623
2021-01-10,mac32,0.46224666627236677,0.7011639905104151,1.0,0.6199002962291418,0.46324970582277214
2021-01-10,mac4,0.4778664475081896,0.9098369782304166,0.6199002962291418,1.0,0.8926459988631188
2021-01-10,mac8,0.6760707086144279,0.7054706951450623,0.46324970582277214,0.8926459988631188,1.0
2021-01-17,mac16,1.0,0.3849580795981972,0.49022293182600324,0.5055033278050799,0.6963936779287891
2021-01-17,mac2,0.3849580795981972,1.0,0.7148309920802987,0.9097373058275771,0.7246279407209503
2021-01-17,mac32,0.49022293182600324,0.7148309920802987,1.0,0.6350446913228799,0.4878138645136898
2021-01-17,mac4,0.5055033278050799,0.9097373058275771,0.6350446913228799,1.0,0.8971956095037061
2021-01-17,mac8,0.6963936779287891,0.7246279407209503,0.4878138645136898,0.8971956095037061,1.0
2021-01-24,mac16,1.0,0.3866201366496965,0.4945043973321206,0.5058957977541623,0.6985289655384497
2021-01-24,mac2,0.3866201366496965,1.0,0.7149111471125223,0.9098126255299634,0.724909116519867
2021-01-24,mac32,0.4945043973321206,0.7149111471125223,1.0,0.6349406985185527,0.49134255896543655
2021-01-24,mac4,0.5058957977541623,0.9098126255299634,0.6349406985185527,1.0,0.8964305951656641
2021-01-24,mac8,0.6985289655384497,0.724909116519867,0.49134255896543655,0.8964305951656641,1.0
2021-01-31,mac16,1.0,0.38407458080444973,0.49449978233518344,0.5033875416972454,0.6962353415515673
2021-01-31,mac2,0.38407458080444973,1.0,0.7118880234964043,0.9103993652346041,0.7263104196670577
2021-01-31,mac32,0.49449978233518344,0.7118880234964043,1.0,0.6327603252690409,0.4901181100208474
2021-01-31,mac4,0.5033875416972454,0.9103993652346041,0.6327603252690409,1.0,0.8968851576589965
2021-01-31,mac8,0.6962353415515673,0.7263104196670577,0.4901181100208474,0.8968851576589965,1.0
2021-02-07,mac16,1.0,0.3836956182776804,0.49525676146161735,0.5018500789110999,0.692226953939844
2021-02-07,mac2,0.3836956182776804,1.0,0.7101633077082624,0.9100920299690395,0.7250596939261794
2021-02-07,mac32,0.49525676146161735,0.7101633077082624,1.0,0.6292192961585925,0.48396505590200467
2021-02-07,mac4,0.5018500789110999,0.9100920299690395,0.6292192961585925,1.0,0.8965770408775204
2021-02-07,mac8,0.692226953939844,0.7250596939261794,0.48396505590200467,0.8965770408775204,1.0
2021-02-14,mac16,1.0,0.3977624813499243,0.5089101698800141,0.5129332216410053,0.6887443264970579
2021-02-14,mac2,0.3977624813499243,1.0,0.7199227184780995,0.9125704182957906,0.7185675860632353
2021-02-14,mac32,0.5089101698800141,0.7199227184780995,1.0,0.6417258078291889,0.4768566563974302
2021-02-14,mac4,0.5129332216410053,0.9125704182957906,0.6417258078291889,1.0,0.8880593313714605
2021-02-14,mac8,0.6887443264970579,0.7185675860632353,0.4768566563974302,0.8880593313714605,1.0
2021-02-21,mac16,1.0,0.4025863396488298,0.5185303570563169,0.5225694525819752,0.6972290246674315
2021-02-21,mac2,0.4025863396488298,1.0,0.721081788007895,0.9116982351062802,0.7179364419414703
2021-02-21,mac32,0.5185303570563169,0.721081788007895,1.0,0.6474794779214071,0.4876697690717831
2021-02-21,mac4,0.5225694525819752,0.9116982351062802,0.6474794779214071,1.0,0.8896190589476791
2021-02-21,mac8,0.6972290246674315,0.7179364419414703,0.4876697690717831,0.8896190589476791,1.0
2021-02-28,mac16,1.0,0.42862259971630107,0.5589231983008509,0.5514766780738489,0.7273051326165748
2021-02-28,mac2,0.42862259971630107,1.0,0.7292034453715031,0.9136918532324789,0.7237932655635388
2021-02-28,mac32,0.5589231983008509,0.7292034453715031,1.0,0.6665480216250136,0.5309528355453205
2021-02-28,mac4,0.5514766780738489,0.9136918532324789,0.6665480216250136,1.0,0.8918503083176237
2021-02-28,mac8,0.7273051326165748,0.7237932655635388,0.5309528355453205,0.8918503083176237,1.0
2021-03-07,mac16,1.0,0.42219288646529773,0.5598552772451143,0.5451541667952692,0.7254263890790168
2021-03-07,mac2,0.42219288646529773,1.0,0.7223820169344731,0.9142291564486783,0.7224729631977443
2021-03-07,mac32,0.5598552772451143,0.7223820169344731,1.0,0.6607157805203954,0.5297305895397062
2021-03-07,mac4,0.5451541667952692,0.9142291564486783,0.6607157805203954,1.0,0.8903217045830384
2021-03-07,mac8,0.7254263890790168,0.7224729631977443,0.5297305895397062,0.8903217045830384,1.0
2021-03-14,mac16,1.0,0.4235242393144186,0.5623945157258455,0.5439229444037734,0.7222228226633128
2021-03-14,mac2,0.4235242393144186,1.0,0.7221255510314851,0.9134908274803241,0.7208597769955157
2021-03-14,mac32,0.5623945157258455,0.7221255510314851,1.0,0.6573123748782825,0.5247044059890005
2021-03-14,mac4,0.5439229444037734,0.9134908274803241,0.6573123748782825,1.0,0.890118785093993
2021-03-14,mac8,0.7222228226633128,0.7208597769955157,0.5247044059890005,0.890118785093993,1.0
2021-03-21,mac16,1.0,0.42751379089420083,0.5655315648802418,0.5467704010906349,0.7237186014009915
2021-03-21,mac2,0.42751379089420083,1.0,0.7248355613661851,0.9141374726666531,0.7225935593981969
2021-03-21,mac32,0.5655315648802418,0.7248355613661851,1.0,0.6602005972888915,0.5280119763837733
2021-03-21,mac4,0.5467704010906349,0.9141374726666531,0.6602005972888915,1.0,0.8907245562200071
2021-03-21,mac8,0.7237186014009915,0.7225935593981969,0.5280119763837733,0.8907245562200071,1.0
2021-03-28,mac16,1.0,0.42881022116091977,0.5683089801291578,0.5492988606628928,0.7252272511513085
2021-03-28,mac2,0.42881022116091977,1.0,0.7248212520796572,0.9137279544233654,0.7228826664554376
2021-03-28,mac32,0.5683089801291578,0.7248212520796572,1.0,0.6623777701126005,0.5309902954462232
2021-03-28,mac4,0.5492988606628928,0.9137279544233654,0.6623777701126005,1.0,0.8913252505668164
2021-03-28,mac8,0.7252272511513085,0.7228826664554376,0.5309902954462232,0.8913252505668164,1.0
2021-04-04,mac16,1.0,0.42815249211450973,0.5683314858045194,0.5466449450474983,0.7240743821953631
2021-04-04,mac2,0.42815249211450973,1.0,0.7243877683085139,0.9129874496640571,0.7230955316908495
2021-04-04,mac32,0.5683314858045194,0.7243877683085139,1.0,0.6602603151329943,0.5304186848735013
2021-04-04,mac4,0.5466449450474983,0.9129874496640571,0.6602603151329943,1.0,0.8910305382287805
2021-04-04,mac8,0.7240743821953631,0.7230955316908495,0.5304186848735013,0.8910305382287805,1.0
2021-04-11,mac16,1.0,0.42760246556943904,0.5682177549675593,0.5461291031005514,0.7234468457206897
2021-04-11,mac2,0.42760246556943904,1.0,0.7222442300719077,0.9130886670578919,0.7234471370297951
2021-04-11,mac32,0.5682177549675593,0.7222442300719077,1.0,0.6584669678096027,0.5287510454059811
2021-04-11,mac4,0.5461291031005514,0.9130886670578919,0.6584669678096027,1.0,0.8911540213101836
2021-04-11,mac8,0.7234468457206897,0.7234471370297951,0.5287510454059811,0.8911540213101836,1.0
2021-04-18,mac16,1.0,0.4256182875077611,0.5793092303959313,0.5561863268724723,0.7294028250115296
2021-04-18,mac2,0.4256182875077611,1.0,0.7067865535731271,0.9030358779162865,0.7161308403965779
2021-04-18,mac32,0.5793092303959313,0.7067865535731271,1.0,0.6699204121963468,0.5451579977614303
2021-04-18,mac4,0.5561863268724723,0.9030358779162865,0.6699204121963468,1.0,0.8940888397310719
2021-04-18,mac8,0.7294028250115296,0.7161308403965779,0.5451579977614303,0.8940888397310719,1.0
2021-04-25,mac16,1.0,0.41951691897802457,0.5817148323810751,0.5512885229410861,0.7296568211899955
2021-04-25,mac2,0.41951691897802457,1.0,0.6912727964221976,0.9031829082986225,0.7119418716427618
2021-04-25,mac32,0.5817148323810751,0.6912727964221976,1.0,0.657776912244979,0.5447877116653191
2021-04-25,mac4,0.5512885229410861,0.9031829082986225,0.657776912244979,1.0,0.8909560500645626
